Designator,Mid X,Mid Y,Rotation,Layer
U3,184.900219,-77.00983,90.0,top
U30,134.503766,-94.739045,180.0,top
U31,183.25,-102.35,0.0,top
U32,109.360219,-97.38183,180.0,top
U33,110.440219,-106.75183,270.0,top
U34,171.065219,-106.51683,90.0,top
U35,159.815219,-107.52183,90.0,top
U36,172.029605,-70.558217,0.0,top
U37,183.3,-105.4,0.0,top
U39,157.630219,-86.90183,0.0,top
U4,138.425419,-81.44663,0.0,top
U40,149.620219,-106.50183,270.0,top
U5,183.0,-107.5,0.0,top
U6,142.890219,-82.71183,0.0,top
U7,165.830219,-79.59183,270.0,top
U8,154.155755,-94.587524,180.0,top
U9,186.505219,-98.79183,0.0,top
Y1,104.405219,-97.99183,0.0,top
Z1,188.51,-74.9005,0.0,top
